type,一级类,二级类,newtype_old,newtype
丽人;美容,丽人,美容,Service,Service
交通设施,交通设施,其他,Service,Nan
交通设施,交通设施,加油加气站,Service,Nan
交通设施,交通设施,景点,Transport,Nan
交通设施,交通设施,桥,Nan,Nan
交通设施;停车场,交通设施,停车场,Transport,Nan
交通设施;其他,交通设施,其他,Transport,Nan
交通设施;加油加气,交通设施,加油加气站,Service,Nan
交通设施;收费站,交通设施,收费站,Service,Nan
交通设施;服务区,交通设施,服务区,Service,Transport
交通设施;桥,交通设施,桥,Nan,Nan
交通设施;港口,交通设施,港口,Transport,Transport
交通设施;火车站,交通设施,火车站,Transport,Transport
交通设施;长途汽车,交通设施,长途汽车站,Transport,Transport
交通设施;飞机场,交通设施,飞机场,Transport,Transport
休闲娱乐,休闲娱乐,中餐厅,Entertainment,Shopping
休闲娱乐,休闲娱乐,住宅区,Entertainment,Shopping
休闲娱乐,休闲娱乐,商铺,Entertainment,Shopping
休闲娱乐,休闲娱乐,园区,Nan,Nan
休闲娱乐,休闲娱乐,购物中心,Shopping,Shopping
休闲娱乐;ktv,休闲娱乐,ktv,Entertainment,Shopping
休闲娱乐;休闲广场,休闲娱乐,休闲广场,Entertainment,Shopping
休闲娱乐;其他,休闲娱乐,其他,Entertainment,Shopping
休闲娱乐;农家院,休闲娱乐,农家院,Entertainment,Nan
休闲娱乐;剧院,休闲娱乐,剧院,Entertainment,Shopping
休闲娱乐;度假村,休闲娱乐,度假村,Entertainment,Shopping
休闲娱乐;洗浴按摩,休闲娱乐,洗浴按摩,Entertainment,Shopping
休闲娱乐;游戏场所,休闲娱乐,游戏场所,Entertainment,Shopping
休闲娱乐;电影院,休闲娱乐,电影院,Entertainment,Shopping
休闲娱乐;网吧,休闲娱乐,网吧,Entertainment,Shopping
公司企业,公司企业,中学,Business,School
公司企业,公司企业,住宅区,Business,Business
公司企业,公司企业,公司,Business,Business
公司企业,公司企业,公园,Business,Business
公司企业,公司企业,公检法机构,Business,Business
公司企业,公司企业,公用事业,Business,Business
公司企业,公司企业,其他,Business,Business
公司企业,公司企业,农林园艺,Business,Business
公司企业,公司企业,厂矿,Business,Business
公司企业,公司企业,各级政府,Business,Business
公司企业,公司企业,商铺,Business,Business
公司企业,公司企业,园区,Business,Business
公司企业,公司企业,家居建材,Business,Business
公司企业,公司企业,居民委员会,Business,Business
公司企业,公司企业,市场,Business,Business
公司企业,公司企业,房产中介机构,Business,Business
公司企业,公司企业,文化宫,Business,Business
公司企业,公司企业,星级酒店,Business,Business
公司企业,公司企业,景点,Business,Business
公司企业,公司企业,汽车租赁,Business,Business
公司企业,公司企业,百货商场,Shopping,Shopping
公司企业,公司企业,行政单位,Nan,Nan
公司企业,公司企业,购物中心,Shopping,Shopping
公司企业,公司企业,超市,Shopping,Shopping
公司企业,公司企业,通讯营业厅,Service,Service
公司企业;公司,公司企业,公司,Business,Business
公司企业;公司,未分类,公司,Business,Business
公司企业;其他,公司企业,其他,Business,Business
公司企业;农林园艺,公司企业,农林园艺,Business,Business
公司企业;厂矿,公司企业,厂矿,Business,Business
公司企业;园区,公司企业,园区,Business,Business
公司企业;园区,未分类,园区,Business,Business
出入口,出入口,其他,Nan,Nan
出入口;门,出入口,门,Nan,Nan
医疗,医疗,其他,Health,Health
医疗,医疗,科研机构,Health,Health
医疗,医疗,综合医院,Health,Health
医疗,医疗,诊所,Health,Health
医疗;专科医院,医疗,专科医院,Health,Health
医疗;体检机构,医疗,体检机构,Health,Health
医疗;其他,医疗,其他,Health,Health
医疗;医疗器械,医疗,医疗器械,Health,Health
医疗;急救中心,医疗,急救中心,Health,Health
医疗;疗养院,医疗,疗养院,Health,Health
医疗;疾控中心,医疗,疾控中心,Health,Health
医疗;综合医院,医疗,综合医院,Health,Health
医疗;诊所,医疗,诊所,Health,Health
房地产,房地产,住宅区,Resident,Resident
房地产,房地产,公寓式酒店,Resident,Resident
房地产,房地产,其他,Resident,Resident
房地产,房地产,写字楼,Business,Business
房地产;住宅区,房地产,住宅区,Resident,Resident
房地产;住宅区,未分类,住宅区,Resident,Resident
房地产;其他,房地产,其他,Resident,Resident
房地产;内部楼栋,房地产,内部楼栋,Resident,Resident
房地产;写字楼,房地产,写字楼,Business,Business
房地产;宿舍,房地产,宿舍,Resident,Resident
房地产;宿舍,未分类,宿舍,Resident,Resident
政府机构,政府机构,专科医院,Health,Health
政府机构,政府机构,公司,Business,Business
政府机构,政府机构,公检法机构,Government,Government
政府机构,政府机构,各级政府,Government,Government
政府机构,政府机构,科研机构,Nan,Nan
政府机构,政府机构,行政单位,Government,Government
政府机构,政府机构,门址点,Resident,Resident
政府机构;中央机构,政府机构,中央机构,Government,Government
政府机构;党派团体,政府机构,党派团体,Nan,Nan
政府机构;公检法机,政府机构,公检法机构,Government,Government
政府机构;其他,政府机构,其他,Nan,Nan
政府机构;各级政府,政府机构,各级政府,Government,Government
政府机构;居民委员,政府机构,居民委员会,Nan,Nan
政府机构;政治教育,政府机构,政治教育机构,Nan,Nan
政府机构;民主党派,政府机构,民主党派,Nan,Nan
政府机构;涉外机构,政府机构,涉外机构,Nan,Nan
政府机构;社会团体,政府机构,社会团体,Nan,Nan
政府机构;福利机构,政府机构,福利机构,Nan,Nan
政府机构;行政单位,政府机构,行政单位,Government,Government
教育培训,教育培训,中学,School,School
教育培训,教育培训,其他,School,School
教育培训,教育培训,培训机构,School,School
教育培训,教育培训,小学,School,School
教育培训,教育培训,展览馆,School,Museums
教育培训,教育培训,幼儿园,School,School
教育培训,教育培训,成人教育,School,Nan
教育培训,教育培训,科研机构,School,School
教育培训,教育培训,高等院校,School,School
教育培训;中学,教育培训,中学,School,School
教育培训;亲子教育,教育培训,亲子教育,School,School
教育培训;其他,教育培训,其他,School,Nan
教育培训;图书馆,教育培训,图书馆,School,Museums
教育培训;培训机构,教育培训,培训机构,School,School
教育培训;培训机构,未分类,培训机构,School,School
教育培训;小学,教育培训,小学,School,School
教育培训;幼儿园,教育培训,幼儿园,School,School
教育培训;成人教育,教育培训,成人教育,School,School
教育培训;特殊教育,教育培训,特殊教育学校,School,School
教育培训;科技馆,教育培训,科技馆,Museums,Museums
教育培训;科研机构,教育培训,科研机构,School,School
教育培训;高等院校,教育培训,高等院校,School,School
文化传媒,文化传媒,公司,Business,Business
文化传媒,文化传媒,其他,Nan,Nan
文化传媒,文化传媒,园区,Museums,Museums
文化传媒,文化传媒,展览馆,Museums,Museums
文化传媒,文化传媒,广播电视,Business,Business
文化传媒,文化传媒,文化宫,Museums,Museums
文化传媒,文化传媒,新闻出版,Business,Business
