home_grid,isolation,ses,ses2
80264,0.7588900681320598,3,1
80977,0.9300340393865589,3,1
80978,0.7545962996435449,3,1
80979,0.7521745444475588,3,1
81692,0.816987177647404,3,1
83133,0.788536366898094,4,1
83846,0.8601949405115972,4,1
83847,0.8182735921475484,2,1
84560,0.7530978477070382,11,1
84561,0.6205443245631141,11,1
85269,0.48877113345787304,9,1
85271,0.5370519946010868,1,1
85273,0.6621549785485954,3,1
85279,0.6432994418065299,2,1
85280,0.7034404014836737,2,1
85983,0.6855175853442401,9,1
85984,0.43638401267806964,9,1
85987,0.5307480126364392,6,1
85988,0.6533017429486764,3,1
85993,0.6113397713183464,2,1
85994,0.7283132774294996,2,1
86643,0.6559232488617972,8,1
86654,0.7154674089186251,3,1
86655,0.7879481881495953,3,1
86656,0.7493683809000548,20,1
86701,0.6540801012439617,6,1
86702,0.6025698296571913,3,1
86707,0.7079802358248228,2,1
86708,0.8121956436857625,2,1
86710,0.7162269940208237,2,1
86711,0.6381732646488255,2,1
87350,0.6389166423365908,2,1
87351,0.6715646053155511,2,1
87354,0.5411377624377585,3,1
87365,0.7255858827500261,12,1
87368,0.7015564535315942,3,1
87369,0.6929657237484967,10,1
87370,0.7376749828907583,20,1
87417,0.6736873046245436,5,1
87418,0.5542211870555921,5,1
87420,0.6838111468751851,3,1
87421,0.7142581755983161,3,1
87422,0.6931295366255594,3,1
87423,0.7531579325307178,3,1
88059,0.6002257991354156,2,1
88064,0.7345904049537011,2,1
88065,0.5389106951381809,1,1
88069,0.6701680438766335,2,1
88070,0.6371758424342238,2,1
88071,0.655581412395156,3,1
88079,0.7088789073134328,12,1
88083,0.6401550613584102,19,1
88132,0.7052640261568427,12,1
88133,0.6172337504290712,8,1
88134,0.6987049464558864,8,1
88135,0.6593645185411925,3,1
88136,0.660476105896117,10,1
88137,0.4685114804104478,3,1
88772,0.8326654556134945,2,1
88773,0.6735665055766576,2,1
88775,0.6903449232780632,5,1
88776,0.7356613457201641,5,1
88779,0.7763081870079489,2,1
88780,0.6853534482475816,1,1
88781,0.7649891657067969,2,1
88782,0.7303169957298344,2,1
88783,0.6379124313744077,1,1
88785,0.6431260789480204,1,1
88789,0.49366695094961416,13,1
88790,0.459021825747239,13,1
88793,0.3801283628622317,14,1
88837,0.7611089176659154,6,1
88838,0.9178447750526919,6,1
88839,0.7416924781747263,6,1
88840,0.7239294872011597,6,1
88843,0.6473711707841846,19,1
88844,0.6801311083076367,19,1
88845,0.6201657066100554,10,1
88846,0.6334528026369644,12,1
88847,0.6362974985819696,8,1
88848,0.7002145196398981,8,1
89485,0.5841386090014244,6,1
89486,0.760469801364954,6,1
89487,0.8444409526072805,2,1
89489,0.7666341256678374,2,1
89491,0.7878913162290726,3,1
89492,0.8750624428486146,1,1
89493,0.8233016097938696,2,1
89494,0.7264547046052312,2,1
89495,0.8065363179274372,2,1
