fnid,shopping_mall_count,library_count,museum_count,hospital_count,gym_count,university_count,park_count,outdoor_count,bus_station_count,subway_station_count,train_station_count,geometry
80264,4,0,0,1,0,0,0,0,9,0,0,POINT (439031.7105667636 4394290.24184781)
80977,5,0,0,1,0,0,0,0,10,0,0,POINT (438782.5862380336 4394542.350740885)
80978,5,0,0,1,0,0,0,0,9,0,0,POINT (439033.6934289864 4394540.355857538)
80979,5,0,0,1,0,0,0,0,8,0,0,POINT (439284.800461655 4394538.369175817)
81692,5,0,0,1,0,0,0,0,10,0,0,POINT (439035.6763854759 4394790.46990764)
83133,4,0,0,1,0,0,0,0,9,0,0,POINT (442303.7139282576 4395265.50972644)
83846,5,0,0,1,0,0,0,0,18,1,0,POINT (442054.5168692993 4395517.512078837)
83847,4,0,0,1,0,0,0,0,11,0,0,POINT (442305.5909659054 4395515.623690671)
84560,5,0,0,1,0,0,0,0,15,2,0,POINT (442056.4021667614 4395767.626222582)
84561,5,0,0,1,0,0,0,0,10,0,0,POINT (442307.4680935951 4395765.737806428)
85269,9,0,0,0,0,0,1,0,12,2,0,POINT (440802.9985598405 4396027.30558838)
85271,12,0,0,1,0,0,0,0,17,2,0,POINT (441305.1141997902 4396023.454890252)
85273,8,0,0,1,0,0,0,0,17,2,2,POINT (441807.2298114456 4396019.636996352)
85279,1,0,0,0,0,1,0,0,16,0,0,POINT (443313.576014955 4396008.380142618)
85280,1,0,0,2,0,0,0,0,16,0,0,POINT (443564.6335470479 4396006.53270485)
85983,9,0,0,0,0,0,0,0,16,2,0,POINT (440804.9248889884 4396277.41989933)
85984,9,0,0,0,0,0,0,0,17,2,0,POINT (441055.9745740949 4396275.490420914)
85987,9,0,0,1,0,0,0,0,17,4,2,POINT (441809.1234582322 4396269.751193742)
85988,8,0,0,1,0,0,0,0,19,3,2,POINT (442060.1730296274 4396267.854520666)
85993,1,0,0,4,1,2,0,0,22,0,0,POINT (443315.4206385747 4396258.49417331)
85994,1,0,0,4,1,1,0,0,21,0,0,POINT (443566.4700001862 4396256.646708182)
86643,7,0,0,3,1,5,2,0,11,2,0,POINT (427250.5624629922 4396643.907376181)
86654,2,0,0,0,0,0,1,0,7,0,0,POINT (430012.0363083399 4396618.262015174)
86655,1,0,0,0,0,0,1,0,6,0,0,POINT (430263.0792530559 4396615.97983095)
86656,1,0,0,0,0,0,1,0,4,0,0,POINT (430514.1221210835 4396613.7058492)
86701,9,0,0,1,0,0,0,0,22,4,2,POINT (441811.0171962557 4396519.865598128)
86702,7,0,0,1,1,2,0,0,20,2,2,POINT (442062.0585966986 4396517.968896979)
86707,3,0,0,4,2,2,0,0,30,0,0,POINT (443317.2653510698 4396508.608411068)
86708,1,0,0,4,2,2,0,0,27,0,0,POINT (443568.3065418058 4396506.760918593)
86710,1,0,0,4,0,0,0,0,17,0,0,POINT (444070.3890555321 4396503.090536109)
86711,1,0,0,2,0,0,0,0,13,0,0,POINT (444321.4302073441 4396501.26764733)
87350,5,0,0,2,1,0,1,0,20,2,0,POINT (425495.6835309425 4396910.860368393)
87351,6,1,0,3,2,0,0,1,18,2,0,POINT (425746.7188903093 4396908.430508416)
87354,9,0,0,5,1,1,2,0,11,4,0,POINT (426499.8247957162 4396901.19014295)
87365,8,0,0,0,0,6,3,0,10,1,0,POINT (429261.2100247222 4396875.273724524)
87368,4,0,0,0,0,0,2,0,7,0,0,POINT (430014.3142041533 4396868.377860316)
87369,1,0,0,0,0,0,1,0,7,0,0,POINT (430265.348976871 4396866.095642329)
87370,1,0,0,0,0,0,1,0,3,0,0,POINT (430516.3836729169 4396863.821626942)
87417,5,0,0,0,1,2,0,0,26,2,2,POINT (442314.9774967969 4396766.194730343)
87418,5,1,1,2,1,2,0,0,27,2,2,POINT (442566.0107126737 4396764.314403889)
87420,4,1,1,4,2,2,0,0,29,2,1,POINT (443068.0771038348 4396760.578355216)
87421,3,1,1,4,2,2,0,0,29,0,0,POINT (443319.1101508003 4396758.722633927)
