home_grid,age,gender,is_local,ses,avg_dis
80264,a2,1,N,3,16.805
80264,a2,1,Y,3,15.687
80264,a2,2,Y,3,8.369
80264,a3,1,N,3,14.091
80264,a3,1,Y,3,11.364
80264,a3,2,N,3,13.848
80264,a3,2,Y,3,8.892
80264,a4,1,N,3,10.583
80264,a4,1,Y,3,10.849
80264,a4,2,N,3,14.678
80264,a4,2,Y,3,12.144
80264,a5,1,N,3,16.804
80264,a5,1,Y,3,4.319
80264,a5,2,Y,3,5.398
80264,a6,1,N,3,7.767
80264,a6,1,Y,3,8.236
80264,a6,2,N,3,10.668
80264,a6,2,Y,3,13.815
80264,a7,1,Y,3,1.752
80264,a7,2,Y,3,8.561
80977,a2,1,Y,3,7.878
80977,a3,1,Y,3,7.779
80977,a3,2,Y,3,7.235
80977,a4,1,Y,3,1.166
80977,a5,1,Y,3,6.614
80977,a5,2,Y,3,3.936
80977,a6,1,Y,3,3.089
80977,a6,2,Y,3,3.225
80977,a7,1,Y,3,1.127
80978,a1,1,Y,3,10.613
80978,a2,1,N,3,13.406
80978,a2,1,Y,3,12.658
80978,a2,2,N,3,5.536
80978,a2,2,Y,3,12.334
80978,a3,1,N,3,14.526
80978,a3,1,Y,3,10.634
80978,a3,2,N,3,10.545
80978,a3,2,Y,3,8.828
80978,a4,1,N,3,10.814
80978,a4,1,Y,3,9.289
80978,a4,2,N,3,6.556
80978,a4,2,Y,3,10.19
80978,a5,1,N,3,6.256
80978,a5,1,Y,3,9.96
80978,a5,2,N,3,10.233
80978,a5,2,Y,3,8.952
80978,a6,1,N,3,5.787
80978,a6,1,Y,3,5.121
80978,a6,2,N,3,5.146
80978,a6,2,Y,3,11.927
80978,a7,1,N,3,18.658
80978,a7,1,Y,3,5.034
80978,a7,2,N,3,17.304
80978,a7,2,Y,3,14.972
80979,a2,1,N,3,15.95
80979,a2,1,Y,3,9.041
80979,a2,2,N,3,27.664
80979,a2,2,Y,3,12.691
80979,a3,1,N,3,18.41
80979,a3,1,Y,3,9.28
80979,a3,2,N,3,12.077
80979,a3,2,Y,3,12.743
80979,a4,1,N,3,9.621
80979,a4,1,Y,3,8.493
80979,a4,2,N,3,14.52
80979,a4,2,Y,3,8.614
80979,a5,1,N,3,16.621
80979,a5,1,Y,3,8.688
80979,a5,2,N,3,7.61
80979,a5,2,Y,3,7.728
80979,a6,1,N,3,2.688
80979,a6,1,Y,3,17.979
80979,a6,2,N,3,4.679
80979,a6,2,Y,3,8.481
80979,a7,1,Y,3,11.281
80979,a7,2,Y,3,9.267
81692,a2,1,N,3,5.821
81692,a2,1,Y,3,15.691
81692,a2,2,Y,3,6.344
81692,a3,1,N,3,9.641
81692,a3,1,Y,3,4.572
81692,a3,2,N,3,6.449
81692,a3,2,Y,3,4.087
81692,a4,1,Y,3,11.414
81692,a4,2,Y,3,5.139
81692,a5,1,N,3,8.142
81692,a5,1,Y,3,1.911
81692,a5,2,N,3,3.262
81692,a5,2,Y,3,4.626
81692,a6,1,Y,3,6.746
81692,a6,2,Y,3,7.509
83133,a2,1,Y,4,3.168
83133,a2,2,Y,4,1.269
83133,a3,1,Y,4,3.3
83133,a3,2,N,4,3.121
83133,a3,2,Y,4,2.886
83133,a4,1,Y,4,3.567
83133,a4,2,Y,4,3.963
83133,a5,1,Y,4,4.408
83133,a5,2,Y,4,3.841
83133,a6,2,Y,4,2.424
83133,a7,1,Y,4,9.419
83846,a2,1,Y,4,11.34
83846,a2,2,Y,4,10.245
83846,a3,1,N,4,7.285
83846,a3,1,Y,4,13.062
83846,a3,2,Y,4,4.553
83846,a4,1,N,4,9.916
83846,a4,1,Y,4,13.957
83846,a4,2,Y,4,0.887
83846,a5,1,N,4,3.711
83846,a5,1,Y,4,10.297
83846,a5,2,Y,4,1.61
83846,a6,1,Y,4,2.404
83846,a6,2,Y,4,3.541
83847,a2,1,Y,2,3.781
83847,a3,1,N,2,7.223
83847,a3,1,Y,2,1.834
83847,a3,2,Y,2,4.81
83847,a4,1,Y,2,15.604
83847,a5,1,N,2,10.187
83847,a5,1,Y,2,1.191
83847,a5,2,Y,2,2.923
83847,a7,2,Y,2,1.361
84560,a2,1,Y,11,6.393
84560,a2,2,Y,11,2.178
84560,a3,1,Y,11,3.301
84560,a3,2,N,11,11.929
84560,a3,2,Y,11,3.18
84560,a4,1,N,11,0.693
84560,a4,1,Y,11,12.373
84560,a4,2,Y,11,4.154
84560,a5,1,N,11,14.329
84560,a5,1,Y,11,2.724
84560,a5,2,Y,11,7.228
84560,a6,1,Y,11,0.995
84560,a6,2,Y,11,1.435
84560,a7,1,Y,11,14.696
84561,a2,1,N,11,23.48
84561,a2,1,Y,11,8.021
84561,a2,2,N,11,14.798
84561,a2,2,Y,11,9.394
84561,a3,1,N,11,15.597
84561,a3,1,Y,11,6.097
84561,a3,2,Y,11,11.357
84561,a4,1,N,11,25.811
84561,a4,1,Y,11,7.099
84561,a4,2,N,11,2.174
84561,a4,2,Y,11,3.157
84561,a5,1,Y,11,4.623
