home_grid,ses,avg_dis
80264,3,10.474
80977,3,3.878
80978,3,10.063
80979,3,10.025
81692,3,6.066
83133,4,3.861
83846,4,8.271
83847,2,4.275
84560,11,5.193
84561,11,6.411
85269,9,12.177
85271,1,10.278
85273,3,10.078
85279,2,8.197
85280,2,6.313
85983,9,10.043
85984,9,9.425
85987,6,10.098
85988,3,9.604
85993,2,8.541
85994,2,7.286
86643,8,8.609
86654,3,5.623
86655,3,7.03
86656,20,7.54
86701,6,10.454
86702,3,8.7
86707,2,8.41
86708,2,6.031
86710,2,6.488
86711,2,9.982
87350,2,8.471
87351,2,12.953
87354,3,11.172
87365,12,6.185
87368,3,11.768
87369,10,9.408
87370,20,10.009
87417,5,6.55
87418,5,9.486
87420,3,6.51
87421,3,7.192
87422,3,6.752
87423,3,5.975
88059,2,13.689
88064,2,9.226
88065,1,12.452
88069,2,10.327
88070,2,8.888
88071,3,9.557
88079,12,8.8
88083,19,9.395
88132,12,6.382
88133,8,6.3
88134,8,6.877
88135,3,7.115
88136,10,6.786
88137,3,8.403
88772,2,8.579
88773,2,11.47
88775,5,11.256
88776,5,8.497
88779,2,7.944
88780,1,9.739
88781,2,7.864
88782,2,9.849
88783,1,9.575
88785,1,8.498
88789,13,14.098
88790,13,14.226
88793,14,11.887
88837,6,5.494
88838,6,3.849
88839,6,5.99
88840,6,4.572
88843,19,6.85
88844,19,7.49
88845,10,8.158
88846,12,6.871
88847,8,7.674
88848,8,5.75
89485,6,14.348
89486,6,9.009
89487,2,6.283
89489,2,8.888
89491,3,8.37
89492,1,6.465
89493,2,7.672
89494,2,8.498
89495,2,6.0
89499,1,8.749
89552,6,4.325
89553,6,5.301
89554,6,5.761
89557,19,7.852
89558,19,7.064
89559,15,8.64
89562,2,7.436
89563,3,7.879
89564,3,6.666
90199,1,14.007
90200,1,10.223
90201,1,4.85
90202,2,10.663
90203,2,8.304
90204,1,6.712
90205,2,7.208
90206,1,8.753
90208,2,8.327
90209,3,7.402
90210,8,6.692
90214,4,5.452
90221,1,10.169
90270,5,5.925
90271,23,7.252
90272,16,7.774
90273,6,8.117
90274,6,8.735
90277,4,6.654
90913,1,9.162
90914,1,10.992
90915,1,8.211
90916,1,9.083
90917,4,10.302
90918,1,8.538
90919,2,10.416
90920,2,9.949
90921,2,6.185
90922,2,8.177
90923,1,6.915
90924,1,6.916
90925,1,6.641
90928,2,7.818
90937,18,9.229
90938,18,7.263
90939,24,9.871
90984,13,6.752
90985,15,6.568
90986,17,7.312
90989,3,7.296
90990,3,6.392
90992,5,6.655
91627,1,8.333
91628,1,8.98
91629,1,10.856
91630,10,8.336
91631,2,9.153
91632,3,9.516
91633,2,10.617
91634,2,7.226
91635,2,6.667
91636,1,6.627
91637,1,7.964
91638,1,7.125
91639,1,6.256
91642,2,7.722
91649,12,9.843
91650,12,10.497
91651,13,9.659
91652,13,10.391
91653,23,10.237
91654,23,9.386
91698,7,6.983
91699,19,7.323
91700,17,7.356
91703,11,7.893
91704,9,7.143
91706,4,7.157
91714,12,9.944
92343,1,4.806
92345,1,8.403
92347,1,8.783
92348,2,7.949
92349,2,7.579
92350,2,7.854
92351,2,8.045
92352,1,7.722
92357,17,5.624
92358,17,6.606
92364,12,10.005
