home_grid,ses,entropy
80264,3,5.3251959287921755
80977,3,5.817212497742295
80978,3,5.887776096319643
80979,3,5.150551801583962
81692,3,5.976061408002242
83133,4,7.076450931373946
83846,4,7.3420776824171785
83847,2,6.780134794268907
84560,11,7.82131648314812
84561,11,7.102047656798547
85269,9,5.379252642058214
85271,1,6.586647810270285
85273,3,7.419842486454436
85279,2,7.623442325825942
85280,2,8.008101991676515
85983,9,5.568350708672137
85984,9,7.458289794185093
85987,6,6.437515246087353
85988,3,6.835219309705975
85993,2,6.435508504288908
85994,2,7.1861841902829156
86643,8,5.152663848670198
86654,3,5.913089062110837
86655,3,5.306495712167858
86656,20,6.100877107372641
86701,6,6.210827040085796
86702,3,5.802349902548485
86707,2,7.238483817560253
86708,2,7.62932289698986
86710,2,7.793326515630723
86711,2,7.6568598607517835
87350,2,6.635432764567323
87351,2,6.580011862490369
87354,3,7.529278788367517
87365,12,5.658135605071585
87368,3,5.4488047447011745
87369,10,5.567425520932191
87370,20,5.273890223594381
87417,5,6.4708912241620595
87418,5,6.757395500305432
87420,3,7.054975660078828
87421,3,7.555413850278686
87422,3,7.722681314851105
87423,3,7.330722185675858
88059,2,7.480023316498599
88064,2,6.461408158697336
88065,1,6.736328961577185
88069,2,6.936719371781183
88070,2,6.992672412412498
88071,3,7.033947294457638
88079,12,6.974940772867708
88083,19,4.276552621452247
88132,12,7.849818605287016
88133,8,7.341791167784985
88134,8,8.181740825163718
88135,3,7.859097150258602
88136,10,6.5528431533864975
88137,3,6.435999312614324
88772,2,7.596201928272085
88773,2,8.097628104755374
88775,5,5.931205456684573
88776,5,5.916824369733302
88779,2,8.276751759293731
88780,1,8.602932446804552
88781,2,7.550025166115595
88782,2,6.4443007897738465
88783,1,5.73408499168985
88785,1,7.577484452953254
88789,13,7.149773672873369
88790,13,7.6869926745790895
88793,14,6.778796111972444
88837,6,4.884321772813864
88838,6,4.525954734645069
88839,6,6.037651874281595
88840,6,7.78292261100567
88843,19,6.354386497191565
88844,19,7.008582320559082
88845,10,8.17055245697674
88846,12,8.049637752210892
88847,8,6.9234209554512125
88848,8,7.05700243711672
89485,6,6.507301285556644
89486,6,8.071580049782087
89487,2,8.072708554788782
89489,2,6.705717042639694
89491,3,6.989036297673022
89492,1,7.193662111862739
89493,2,8.289017643369267
89494,2,7.583424046948153
89495,2,7.887467113919891
89499,1,7.7834818426305805
89552,6,4.6649872887208135
89553,6,5.264940501658612
89554,6,6.3509901029049525
89557,19,7.371622576553532
89558,19,8.322656422972203
89559,15,7.705456051830655
89562,2,7.789066740169277
89563,3,7.340841179880881
89564,3,7.8550424633541445
90199,1,6.867325963208561
90200,1,7.125048484724766
90201,1,7.7821440369931345
90202,2,6.297387214309338
90203,2,6.588921800267126
90204,1,6.9719969736489515
90205,2,7.594761554520105
90206,1,7.540738329746531
90208,2,7.228801362189121
90209,3,7.446066874615921
90210,8,6.473003206109928
90214,4,7.533599304495059
90221,1,6.928578133838116
90270,5,7.006671890100232
90271,23,7.365362686946036
90272,16,7.744339975948289
90273,6,8.091885979738151
90274,6,8.523447026847924
90277,4,7.473206374200219
90913,1,6.106874439465407
90914,1,7.141687292541903
90915,1,7.437814062965126
90916,1,7.122391768146737
90917,4,7.36421547231801
90918,1,7.187414633198421
90919,2,7.415286752843302
90920,2,7.633484603805548
90921,2,7.285475132183414
90922,2,7.78012665843535
90923,1,7.934648813138848
90924,1,7.966616251550143
90925,1,7.235463188123681
90928,2,7.910360168143421
90937,18,6.547534795172736
90938,18,7.42859340312901
90939,24,6.789025591058414
90984,13,7.590258356334216
90985,15,7.6276533205055514
90986,17,8.082843196766854
90989,3,8.444509691085738
90990,3,8.083002331192969
90992,5,7.366684745687761
91627,1,6.97276699076686
91628,1,6.7925787545055325
91629,1,7.724002668207239
91630,10,7.730671352689917
91631,2,7.223854004643314
91632,3,7.936386333169294
91633,2,7.76525606771172
91634,2,7.4697642733500595
91635,2,6.727590466903427
91636,1,7.838558975368306
91637,1,7.888329477324914
91638,1,7.578854296344266
91639,1,7.441604487237602
91642,2,8.411214969799705
91649,12,6.404900997985921
91650,12,7.236991183059317
91651,13,7.449700886443142
91652,13,7.557854863647289
91653,23,8.01278110445497
91654,23,7.820716402907992
91698,7,7.7597155287061135
91699,19,8.004445446531367
91700,17,8.129824937431135
91703,11,8.948683960329282
91704,9,8.017017143431426
91706,4,7.1949991082702205
91714,12,5.644356100691169
92343,1,7.504809001883825
92345,1,7.373795848906905
92347,1,7.249268414080321
92348,2,6.773928710633066
92349,2,6.788772270235263
92350,2,7.289856605394128
92351,2,7.815480605607184
92352,1,8.197003582155356
92357,17,6.00419677639333
92358,17,6.984411485458524
92364,12,7.451133868298477
92365,11,7.57928660590586
92366,11,7.535544539353175
92367,27,7.625590291496617
92411,10,6.604722495180875
92412,7,7.0057929367962055
92413,29,7.351506214873154
92414,27,8.532564938321611
92415,7,8.580041828640251
92416,7,8.36954550112847
92418,14,8.533964293986074
92419,3,7.893411669058164
92420,9,7.588313411654204
92421,9,7.778678333072461
92422,5,7.796834058507694
92428,13,5.842534450897568
92429,12,6.352443181177508
93057,2,7.659812954695146
93059,1,7.927737308400919
93063,2,6.813725859028451
93064,2,7.214535797138732
93065,1,7.1886803614242485
93066,2,7.273929531183949
93067,1,7.290203680907988
93071,17,6.412929808595576
93072,17,6.461813366517836
93079,9,7.048925583697571
93080,20,6.950735380631945
93081,24,7.41063184121454
93127,21,6.853447551366207
93128,21,7.363167531669267
93129,5,7.296429894493814
93130,5,6.665809499649732
93133,2,8.049002766464646
93134,6,7.682846116014215
93773,1,7.685595416210244
93774,1,7.635292423301793
93776,1,6.3091256081790945
93777,2,7.026241973865309
93778,1,7.361796321714495
93779,2,7.99060258129138
93780,1,7.564431202806293
93781,1,6.182159847469039
93782,1,6.066683834792196
93784,2,5.193291688413746
93785,2,6.188487913906329
93793,4,6.97580543012246
93794,4,6.727538868234671
93843,5,6.184458749973448
93844,5,7.00932902787037
93845,4,6.92384350637016
93846,13,7.500410173374425
93847,2,7.82024349141033
93848,3,7.542674127322634
93850,3,7.647757276062251
93851,3,6.2696755327881695
93856,4,7.196309868463116
94488,1,7.644134610007216
94493,1,6.605694637331935
94494,1,6.624338627452579
94498,2,5.510875360247735
94499,2,6.4423355146471835
94504,4,7.084390459168049
94505,1,7.383124657415001
94507,4,7.395273521702498
94508,4,7.20029507237933
94558,12,7.427419779387875
94562,8,6.972607972752352
94570,5,5.485859266241551
95204,2,6.804111785003902
95205,6,6.7601022571948075
95206,6,5.765122906226495
95207,1,6.112669174246436
95218,4,6.444163935423505
95264,28,6.740079279087547
95265,15,8.058622395956657
95266,4,7.564198412179479
95272,12,8.676970988262203
95274,3,7.575720198210012
95275,3,5.970964722001206
95276,45,4.94503317525542
95282,13,7.856515473610878
95283,13,6.8649896501351675
95917,1,5.864433763056573
95918,1,7.9777979765948075
95919,1,7.053185906482387
95921,1,6.938543076876213
95923,1,6.8536833027579345
95924,1,7.228491238796303
95925,1,6.020113228696729
95928,16,7.2202841333909955
95929,16,4.758896780508783
95933,6,7.11170540165618
95978,12,6.930992896146568
95979,4,7.320091762356181
95980,4,7.927491912274656
95981,18,6.931042753677257
95986,12,7.94342467650688
95988,4,8.089481518163845
96036,79,4.9292121273875775
96037,79,5.534899436978153
96054,12,3.853144050201971
96055,12,6.502853721795615
96056,13,7.394361149017545
96062,2,6.50717740377052
96632,1,8.229215381644071
96633,1,7.781462932818222
96636,1,7.735432385572162
96637,1,7.833090327815011
96638,1,7.125437183480214
96639,1,6.991759346117867
96645,3,7.437279190883034
96646,3,6.916120746082057
96647,1,8.333822095736487
96692,6,7.46611406629117
96693,6,7.481018840957368
96694,18,8.918313489289714
96695,18,7.843507719655008
96698,12,7.184098750796421
96699,22,7.844221611515729
96700,22,8.825211854494441
96701,6,7.717546730192226
96702,4,8.1212831087188
96710,4,6.02761162426254
96711,4,7.409652404510275
96770,13,6.926030693027025
96771,8,6.107898790320286
96773,18,6.929618981879175
96774,18,6.68577882587938
96776,2,6.511980259010276
97347,1,7.1065408108252575
97348,1,7.078113898495766
97349,1,7.571688823563372
97351,1,6.022881655701889
97360,1,6.606190342908155
97407,10,7.278522113908365
97408,18,7.3931573958377115
97409,18,8.0957578300503
97410,6,8.412702742914817
97411,9,8.211943623037184
97412,23,8.613789373741046
97413,23,8.207020049974668
97414,22,9.065052707753974
97415,6,8.048134711097347
97416,7,8.096854132288367
97424,4,8.2132616200897
97425,4,7.989282951282927
97464,72,5.798625313667092
97465,72,7.386593005237101
97466,66,7.84846800618757
97484,3,7.435130804504238
97487,18,6.961716978452707
97488,18,7.097199650563708
98062,3,6.7560737655005845
98063,4,8.425038361482024
98064,1,7.938211365172054
98069,3,7.7879517889158745
98070,3,6.712476532771929
98083,4,7.685611126564228
98086,25,7.966161469279006
98119,5,8.046245085952023
98120,9,7.821772262560505
98121,11,6.93391345247317
98122,29,7.161325548756128
98123,29,7.877562299433915
98124,25,8.271627331662122
98125,17,9.18560689269258
98126,30,8.53528252639812
98127,23,7.911191041999304
98128,8,8.338161883749379
98129,6,8.313150755013746
98130,7,7.114873825008507
98138,7,8.05953640045983
98178,63,6.594620495908426
98180,59,7.90523882944356
98198,3,6.958355205901625
98199,10,7.822746313197184
98200,4,7.01024130094247
98201,4,7.529960073409121
98778,1,6.730976803493928
98779,1,6.558640333081253
98783,4,8.38192177669337
98784,10,8.377185668250686
98797,4,7.761866104427666
98799,20,8.108074197738093
98800,25,8.160526503826608
98802,12,6.875131539669676
98833,12,7.760838613996077
98834,9,8.504283263159397
98835,11,8.577262269005413
98836,29,7.142258792191028
98837,29,6.974989897526312
98838,46,7.728546754010059
98839,14,7.626316500423368
98841,20,7.381512767400153
98842,20,8.480216896399762
98848,3,7.461924303672115
98849,3,6.280077398690092
98892,63,7.9395796451788545
98896,29,8.273908344822733
98897,41,7.380196510600857
98898,41,7.0628757884945745
98914,4,8.3652899525082
98915,4,7.87733122265858
99493,1,6.702173442741646
99498,1,8.597529613123285
99511,16,7.827872602596161
99512,20,7.680528061623023
