visit_grid,ses2,distance
78108,1,13716
78108,2,21745
78108,3,30859
78108,4,27772
78109,1,12248
78109,2,25078
78109,3,28655
78109,4,28263
78110,1,14867
78110,2,22951
78110,3,27546
78110,4,27746
78111,1,13426
78111,2,22302
78111,3,27316
78111,4,25141
78112,1,12554
78112,2,19516
78112,3,30935
78112,4,29034
78113,1,15098
78113,2,22081
78113,3,31308
78113,4,29369
78114,1,12862
78114,2,24865
78114,3,28652
78114,4,27741
78115,1,14512
78115,2,23497
78115,3,29988
78115,4,26963
78116,1,14686
78116,2,18076
78116,3,24655
78116,4,27538
78117,1,13007
78117,2,19392
78117,3,24790
78117,4,28007
78118,1,12057
78118,2,21795
78118,3,25391
78118,4,27653
78119,1,12043
78119,2,20424
78119,3,24377
78119,4,26213
78120,1,12412
78120,2,18513
78120,3,29021
78120,4,27805
78817,1,15152
78817,2,20140
78817,3,27115
78817,4,29289
78818,1,12408
78818,2,18893
78818,3,25214
78818,4,29703
78819,1,13351
78819,2,23998
78819,3,29249
78819,4,31069
78820,1,15593
78820,2,22831
78820,3,29122
78820,4,28834
78821,1,14495
78821,2,23586
78821,3,29120
78821,4,27669
78822,1,12600
78822,2,21708
78822,3,27471
78822,4,27226
78823,1,15018
78823,2,18998
78823,3,24546
78823,4,27809
78824,1,13550
78824,2,23957
78824,3,26607
78824,4,27503
78825,1,14645
78825,2,22308
78825,3,28368
78825,4,28005
78826,1,12000
78826,2,23214
78826,3,25193
78826,4,27343
78827,1,12464
78827,2,20572
78827,3,23222
78827,4,27213
78828,1,13388
78828,2,24139
78828,3,24943
78828,4,27976
78829,1,11267
78829,2,19814
78829,3,25766
78829,4,26288
78830,1,11221
78830,2,18439
78830,3,29427
78830,4,27472
78831,1,13647
78831,2,20746
78831,3,28161
78831,4,25996
78832,1,11172
78832,2,21214
78832,3,29798
78832,4,28674
78833,1,10031
78833,2,20552
78833,3,24931
78833,4,28203
78834,1,10434
78834,2,20078
78834,3,23507
78834,4,27240
78835,1,9991
78835,2,18263
78835,3,20287
78835,4,27035
78836,1,12059
78836,2,19797
78836,3,23391
78836,4,27806
78837,1,12805
78837,2,18253
78837,3,26881
78837,4,27550
78838,1,14162
78838,2,20709
78838,3,27210
78838,4,26886
78839,1,11272
78839,2,19758
78839,3,25749
78839,4,26531
78840,1,13400
78840,2,19937
78840,3,24443
78840,4,26546
78841,1,12305
78841,2,20263
78841,3,25428
78841,4,25910
79516,1,11866
79516,2,24956
79516,3,28789
79516,4,26086
79517,1,12393
79517,2,25387
79517,3,29870
79517,4,29243
79518,1,14617
79518,2,23868
79518,3,29055
79518,4,29568
79519,1,13599
79519,2,22772
79519,3,27622
79519,4,28276
79520,1,12716
79520,2,25799
79520,3,26219
79520,4,27062
79521,1,12744
79521,2,22780
79521,3,27489
79521,4,30186
79522,1,13966
79522,2,24002
79522,3,27212
79522,4,28564
79523,1,13712
79523,2,24157
79523,3,27240
79523,4,28853
79524,1,14479
79524,2,26021
79524,3,29781
79524,4,27748
79525,1,18826
79525,2,27823
79525,3,28307
79525,4,28859
79526,1,12706
79526,2,23612
79526,3,26023
79526,4,26238
79527,1,14576
79527,2,20302
79527,3,29236
79527,4,28218
