fnid,shopping_mall_count,library_count,museum_count,hospital_count,gym_count,university_count,park_count,outdoor_count,bus_station_count,subway_station_count,train_station_count
78108,4,0,0,0,0,0,0,0,6,0,0
78109,4,0,0,0,0,0,0,0,7,0,0
78110,4,0,0,0,0,0,0,0,11,0,0
78111,6,0,0,1,0,0,0,0,14,0,0
78112,11,0,0,1,0,0,0,0,16,0,0
78113,13,0,0,1,0,0,0,0,18,0,0
78114,13,0,0,1,0,0,0,0,19,0,0
78115,14,0,0,1,0,0,0,0,20,0,0
78116,14,0,0,1,0,0,0,0,19,0,0
78117,15,0,0,1,0,0,0,0,18,0,0
78118,15,0,0,1,0,0,0,0,18,0,0
78119,15,0,0,1,0,0,1,0,19,0,0
78120,15,0,0,1,0,0,1,0,19,0,0
78817,4,0,0,0,0,0,0,0,8,0,0
78818,4,0,0,0,0,0,0,0,9,0,0
78819,3,0,0,0,0,0,0,0,6,0,0
78820,4,0,0,0,0,0,0,0,5,0,0
78821,4,0,0,0,0,0,0,0,7,0,0
78822,4,0,0,0,0,0,0,0,7,0,0
78823,4,0,0,0,0,0,0,0,9,0,0
78824,4,0,0,1,0,0,0,0,14,0,0
78825,10,0,0,1,0,0,0,0,17,0,0
78826,17,0,0,1,0,0,0,0,20,0,0
78827,18,0,0,1,0,0,0,0,21,0,0
78828,19,0,0,1,0,2,0,0,21,0,0
78829,20,0,0,1,0,3,0,0,22,0,0
78830,21,0,0,1,0,5,0,0,23,0,0
78831,18,0,0,1,0,7,0,0,21,0,0
78832,15,0,0,1,0,6,1,0,20,0,0
78833,15,0,0,1,0,6,1,0,20,0,0
78834,15,0,0,1,0,3,1,0,19,0,0
78835,15,0,0,1,0,0,2,0,24,0,0
78836,15,0,0,1,0,0,2,0,24,2,0
78837,14,0,0,1,0,0,2,0,25,3,0
78838,14,0,0,1,0,0,2,0,26,3,0
78839,16,0,0,1,0,0,2,0,27,3,0
78840,16,0,0,1,0,0,2,0,26,3,0
78841,17,0,0,1,0,0,2,0,27,3,0
79516,4,0,0,0,0,3,1,1,13,0,0
79517,4,0,0,0,0,1,1,1,13,0,0
79518,3,0,0,0,0,1,0,1,11,0,0
79519,3,0,0,0,0,1,0,1,11,0,0
79520,3,0,0,0,0,0,0,1,10,0,0
79521,3,0,0,0,0,0,0,1,10,0,0
79522,3,0,0,0,0,0,0,1,9,0,0
79523,3,0,0,0,0,0,0,1,8,0,0
79524,3,0,0,0,0,0,0,1,7,0,0
79525,3,0,0,0,0,0,0,0,7,0,0
79526,3,0,0,0,0,0,0,0,7,0,0
79527,4,0,0,0,0,0,0,0,8,0,0
79528,4,0,0,0,0,0,0,0,8,0,0
79529,4,0,0,0,0,0,0,0,8,0,0
79530,4,0,0,0,0,0,0,0,8,0,0
79531,4,0,0,0,0,0,0,0,8,0,0
79532,4,0,0,0,0,0,0,0,9,0,0
79533,3,0,0,0,0,0,0,0,10,0,0
79534,4,0,0,0,0,0,0,0,7,0,0
79535,4,0,0,0,0,0,0,0,7,0,0
79536,5,0,0,0,0,0,0,0,8,0,0
79537,7,0,0,0,0,0,0,0,11,0,0
79538,10,0,0,1,0,0,0,0,17,0,0
79539,16,0,0,1,0,0,0,0,22,0,0
79540,18,0,0,1,0,4,0,0,22,0,0
79541,23,0,0,1,0,7,0,0,23,0,0
79542,24,0,0,1,0,7,0,0,23,0,0
79543,24,0,0,1,0,7,0,0,24,0,0
79544,26,0,0,1,0,7,0,0,25,0,0
79545,26,0,0,1,0,7,0,0,24,0,0
79546,26,0,0,1,0,7,1,0,24,0,0
79547,25,0,0,1,0,7,1,0,25,0,0
79548,18,0,0,1,0,7,2,0,25,0,0
79549,15,0,0,1,0,7,2,0,24,2,0
79550,15,0,0,1,0,6,2,0,25,3,0
79551,14,0,0,1,0,1,2,0,25,3,0
79552,15,0,0,1,0,0,2,0,26,3,0
79553,16,0,0,1,0,0,2,0,27,3,0
79554,17,0,0,1,0,0,2,0,28,3,0
79555,17,0,0,1,0,0,2,0,30,3,0
79556,17,0,0,1,0,1,2,0,30,3,0
79557,16,0,0,1,0,1,2,0,28,3,0
80203,6,0,0,0,0,1,0,0,19,2,1
80204,6,0,0,0,0,1,1,0,23,2,1
80205,7,0,0,0,0,1,1,0,23,2,1
80206,9,0,0,0,0,1,1,0,23,2,0
80207,10,0,0,0,1,1,1,1,24,2,0
80208,11,0,0,0,1,1,1,1,24,7,0
80209,12,0,0,0,1,1,1,1,24,7,0
80210,12,0,0,0,1,1,1,1,24,5,0
80211,11,0,0,0,1,1,1,1,25,5,0
80212,13,0,0,1,1,3,1,1,25,5,0
80213,16,0,0,1,1,4,1,1,26,6,0
80214,17,0,0,1,1,6,1,1,28,6,0
80215,14,0,0,1,1,8,2,2,31,4,0
80216,14,0,0,1,1,8,2,2,30,1,0
80217,13,0,0,1,1,8,2,2,27,1,0
80218,13,0,0,0,1,8,2,2,26,1,0
80219,12,0,0,0,1,8,2,2,25,1,0
80220,12,0,0,0,1,8,2,2,26,2,0
80221,11,0,0,0,1,8,2,2,24,1,0
80222,8,0,0,0,0,8,2,2,24,1,0
80223,8,0,0,0,0,7,2,2,22,1,0
80224,6,0,0,0,0,7,2,2,22,1,0
80225,7,0,0,0,0,7,1,2,21,1,0
