visit_grid,ses1_fre,ses2_fre,ses3_fre,ses4_fre
78108,36.0,0.0,4.0,0.0
78109,25.0,3.0,3.0,4.0
78110,150.0,26.0,51.0,40.0
78111,63.0,7.0,19.0,5.0
78112,186.0,23.0,27.0,24.0
78113,1.0,17.0,2.0,0.0
78114,67.0,3.0,8.0,1.0
78115,169.0,12.0,15.0,8.0
78116,105.0,22.0,1.0,40.0
78117,35.0,8.0,2.0,0.0
78118,39.0,4.0,1.0,3.0
78119,44.0,13.0,1.0,5.0
78120,29.0,10.0,4.0,1.0
78817,14.0,1.0,2.0,1.0
78818,30.0,13.0,1.0,4.0
78819,15.0,0.0,1.0,1.0
78820,8.0,4.0,6.0,4.0
78821,16.0,7.0,0.0,0.0
78822,38.0,3.0,4.0,1.0
78823,12.0,3.0,12.0,0.0
78824,16.0,4.0,4.0,4.0
78825,92.0,13.0,42.0,7.0
78826,40.0,28.0,2.0,6.0
78827,130.0,9.0,19.0,37.0
78828,18.0,1.0,3.0,1.0
78829,32.0,25.0,3.0,6.0
78830,223.0,15.0,13.0,48.0
78831,23.0,7.0,1.0,0.0
78832,43.0,12.0,6.0,6.0
78833,26.0,8.0,5.0,6.0
78834,34.0,12.0,5.0,1.0
78835,12.0,3.0,3.0,3.0
78836,79.0,28.0,34.0,6.0
78837,211.0,16.0,4.0,10.0
78838,282.0,86.0,34.0,80.0
78839,101.0,23.0,27.0,8.0
78840,111.0,15.0,11.0,6.0
78841,161.0,25.0,68.0,24.0
79516,31.0,7.0,1.0,35.0
79517,25.0,10.0,2.0,2.0
79518,24.0,15.0,2.0,3.0
79519,48.0,21.0,6.0,5.0
79520,64.0,20.0,6.0,2.0
79521,44.0,14.0,7.0,17.0
79522,42.0,5.0,19.0,17.0
79523,52.0,24.0,18.0,24.0
79524,13.0,11.0,21.0,21.0
79525,14.0,7.0,8.0,0.0
79526,18.0,6.0,4.0,7.0
79527,21.0,2.0,0.0,4.0
79528,26.0,21.0,10.0,3.0
79529,9.0,13.0,1.0,1.0
79530,8.0,2.0,3.0,1.0
79531,11.0,1.0,0.0,3.0
79532,1.0,16.0,3.0,3.0
79533,5.0,0.0,2.0,2.0
79534,7.0,1.0,0.0,7.0
79535,17.0,3.0,5.0,7.0
79536,16.0,5.0,22.0,0.0
79537,52.0,3.0,11.0,5.0
79538,68.0,15.0,0.0,2.0
79539,108.0,11.0,16.0,9.0
79540,12.0,17.0,0.0,1.0
79541,13.0,0.0,0.0,0.0
79542,17.0,0.0,2.0,3.0
79543,58.0,9.0,1.0,1.0
79544,114.0,3.0,6.0,4.0
79545,124.0,74.0,18.0,7.0
79546,20.0,10.0,0.0,4.0
79547,36.0,14.0,3.0,1.0
79548,26.0,14.0,3.0,4.0
79549,159.0,5.0,5.0,1.0
79550,68.0,23.0,18.0,22.0
79551,103.0,31.0,8.0,1.0
79552,172.0,20.0,13.0,28.0
79553,149.0,36.0,7.0,3.0
79554,411.0,47.0,59.0,35.0
79555,48.0,10.0,4.0,10.0
79556,115.0,55.0,41.0,11.0
79557,247.0,72.0,22.0,31.0
80203,80.0,8.0,11.0,12.0
80204,75.0,21.0,1.0,3.0
80205,64.0,9.0,6.0,3.0
80206,111.0,3.0,11.0,11.0
80207,223.0,46.0,14.0,5.0
80208,100.0,42.0,7.0,10.0
80209,144.0,9.0,13.0,22.0
80210,46.0,17.0,4.0,7.0
80211,170.0,18.0,17.0,23.0
80212,257.0,76.0,39.0,25.0
80213,134.0,2.0,14.0,6.0
80214,247.0,45.0,23.0,29.0
80215,972.0,69.0,39.0,63.0
80216,475.0,77.0,35.0,76.0
80217,60.0,9.0,6.0,1.0
80218,113.0,6.0,33.0,8.0
80219,206.0,7.0,50.0,28.0
80220,108.0,74.0,40.0,16.0
80221,288.0,80.0,58.0,37.0
