visit_grid,avg_ses
78108,11
78109,30
78110,34
78111,24
78112,18
78114,9
78115,20
78116,29
78117,13
78118,12
78119,23
78120,31
78817,17
78818,18
78819,22
78820,50
78821,16
78822,9
78823,50
78824,39
78825,23
78826,28
78827,48
78828,15
78829,26
78830,24
78831,15
78832,22
78833,32
78834,16
78835,33
78836,28
78837,12
78838,36
78839,22
78840,15
78841,31
79516,62
79517,38
79518,34
79519,29
79520,14
79521,36
79522,53
79523,41
79524,63
79525,43
79526,55
79527,17
79528,33
79529,31
79530,25
79531,29
79532,47
79533,33
79534,55
79535,60
79536,40
79537,22
79538,16
79539,17
79540,29
79541,5
79542,23
79543,10
79544,16
79545,26
79546,31
79547,10
79548,22
79549,8
79550,38
79551,22
79552,24
79553,9
79554,16
79555,21
79556,33
79557,28
80203,34
80204,21
80205,25
80206,21
80207,10
80208,25
80209,18
80210,16
80211,30
80212,23
80213,18
80214,20
80215,11
80216,22
80217,16
80218,22
80219,25
80220,30
80221,31
80222,35
80223,54
80224,26
80225,26
80226,32
80227,29
80228,20
80229,16
80230,50
80231,35
80232,18
80233,17
80234,19
80235,35
80236,38
80237,28
80238,44
80239,35
80240,31
80241,17
80242,20
80243,29
80244,30
80245,39
80246,36
80247,8
80248,30
80249,17
80250,29
80251,39
80252,29
80253,24
80254,17
80256,30
80257,41
80258,39
80259,30
80260,16
80261,30
80262,43
80263,28
80264,15
80265,14
80266,26
80267,23
80268,25
80269,18
80270,20
80271,18
80272,18
80273,23
80913,13
80914,27
80915,15
80916,19
80917,24
80918,36
80919,27
80920,6
80921,17
80922,19
80923,14
80924,11
80925,11
80926,15
80927,15
80928,21
80929,19
80930,16
80931,33
80932,8
80933,48
80934,37
80935,35
80936,33
80937,22
80938,43
80939,14
80940,26
80941,40
80942,12
80943,12
80944,24
80945,18
80946,31
80947,11
80948,13
80949,31
80950,27
80951,27
80952,18
80953,28
80954,19
80955,10
80956,60
80957,11
80958,18
80959,48
80960,28
80961,25
80962,30
80963,31
80964,30
80965,32
80966,45
80967,13
80968,39
80971,26
80972,27
80973,61
80974,26
80975,50
80976,34
80977,26
80978,25
80979,45
80980,12
80981,41
80982,53
80983,17
80984,19
80985,16
80986,23
80987,18
80988,46
80989,22
80990,22
80991,33
81626,20
81627,20
81628,17
81629,26
81630,21
81631,34
81632,25
81633,25
81634,20
81635,20
81636,15
81637,8
81638,27
81639,9
81640,19
81641,19
81642,27
81643,11
81644,12
81645,9
81646,26
81647,16
81648,6
81649,28
81650,32
81651,20
81652,19
81653,34
81654,30
81655,13
81656,43
81657,41
81658,22
81659,20
81660,15
81661,48
81662,13
81663,19
81664,22
81665,48
81666,19
81667,28
81668,22
81669,49
81670,23
81671,8
81672,13
81673,27
81674,26
81675,24
81676,33
81677,14
81678,60
81679,8
81680,16
81681,27
81682,29
81683,24
81684,53
81685,48
81686,42
81687,15
81688,39
81689,27
81690,30
81691,23
81692,36
81693,20
81694,36
81695,37
81696,25
81697,23
81698,30
81699,22
81700,25
81701,17
81702,19
81703,17
81704,18
81705,25
81706,25
81707,31
81708,38
81709,21
81710,23
82339,16
82340,29
82341,55
82342,36
82343,8
82344,49
82345,28
82346,19
82347,19
82348,31
82349,23
82350,13
82351,16
82352,20
82353,17
82354,12
82355,13
82356,24
82357,10
82358,21
82359,22
82360,12
82361,28
82362,27
82363,22
82364,35
82365,20
82366,53
82367,40
82368,38
82369,13
82370,14
82371,28
82372,44
82373,21
82374,25
82375,11
82376,24
82377,44
82378,15
82379,32
82380,14
82381,23
82382,29
82383,29
82384,18
82385,45
82386,37
82387,31
82388,18
82389,15
82390,47
82391,15
82392,52
82393,26
82394,9
82395,23
82396,34
82397,16
82398,31
82399,21
82400,19
82401,21
82402,23
82403,14
82404,29
82405,27
82406,34
82407,27
82408,30
82409,37
82410,13
82411,21
82412,28
82413,31
82414,22
82415,20
82416,24
82417,22
82418,20
82419,24
82420,23
82421,27
82422,31
82423,22
82424,14
82425,20
82426,17
82427,34
83053,15
83054,17
83055,18
83056,20
83057,22
83058,16
83059,16
83060,14
83061,25
83062,36
83063,17
83064,12
83065,21
83066,17
83067,13
83068,26
83069,31
83070,19
83071,28
83072,22
83073,27
83074,7
83075,10
83076,13
83077,44
83078,23
83079,39
83080,31
83081,37
83082,34
83083,27
83084,26
83085,31
83086,38
83087,34
83088,15
83089,27
83090,29
83091,36
83092,21
83093,24
83094,39
83095,57
83096,24
83097,34
83098,38
83099,38
83100,61
83101,26
83102,38
83103,21
83104,31
83105,25
83106,9
83107,29
83108,11
83109,23
83110,6
83111,20
83113,21
83114,6
83115,22
83116,33
83117,22
83118,35
83119,34
83120,27
83121,30
83122,46
83123,25
83124,5
83125,39
83126,22
83127,25
83128,18
83129,24
83130,19
83131,22
83132,21
83133,23
83134,26
83135,15
83136,19
83137,14
83138,20
83139,13
83140,28
