price,geometry,home_grid,pcount,ses,ses2,ses3
29992.0,"POLYGON ((116.287427983 39.69515704499997, 116.287427983 39.69741060899997, 116.290356855 39.69741060899997, 116.290356855 39.69515704499997, 116.287427983 39.69515704499997))",80264,34,3,1,1
31235.0,"POLYGON ((116.2844991109999 39.69741060899997, 116.2844991109999 39.69966417199998, 116.287427983 39.69966417199998, 116.287427983 39.69741060899997, 116.2844991109999 39.69741060899997))",80977,63,3,1,1
29992.0,"POLYGON ((116.287427983 39.69741060899997, 116.287427983 39.69966417199998, 116.290356855 39.69966417199998, 116.290356855 39.69741060899997, 116.287427983 39.69741060899997))",80978,56,3,1,1
31774.0,"POLYGON ((116.290356855 39.69741060899997, 116.290356855 39.69966417199998, 116.293285724 39.69966417199998, 116.293285724 39.69741060899997, 116.290356855 39.69741060899997))",80979,34,3,1,1
30574.0,"POLYGON ((116.287427983 39.69966417199998, 116.287427983 39.70191773499999, 116.290356855 39.70191773499999, 116.290356855 39.69966417199998, 116.287427983 39.69966417199998))",81692,57,3,1,1
33361.0,"POLYGON ((116.3255033090001 39.70417129600003, 116.3255033090001 39.70642485899998, 116.32843218 39.70642485899998, 116.32843218 39.70417129600003, 116.3255033090001 39.70417129600003))",83133,225,4,1,1
33712.5,"POLYGON ((116.322574437 39.70642485899998, 116.322574437 39.70867842199999, 116.3255033090001 39.70867842199999, 116.3255033090001 39.70642485899998, 116.322574437 39.70642485899998))",83846,297,4,1,1
28582.0,"POLYGON ((116.3255033090001 39.70642485899998, 116.3255033090001 39.70867842199999, 116.32843218 39.70867842199999, 116.32843218 39.70642485899998, 116.3255033090001 39.70642485899998))",83847,194,2,1,1
40207.0,"POLYGON ((116.322574437 39.70867842199999, 116.322574437 39.71093198599999, 116.3255033090001 39.71093198599999, 116.3255033090001 39.70867842199999, 116.322574437 39.70867842199999))",84560,436,11,1,2
40207.0,"POLYGON ((116.3255033090001 39.70867842199999, 116.3255033090001 39.71093198599999, 116.32843218 39.71093198599999, 116.32843218 39.70867842199999, 116.3255033090001 39.70867842199999))",84561,306,11,1,2
38187.0,"POLYGON ((116.307930082 39.71093198599999, 116.307930082 39.71318554700002, 116.310858954 39.71318554700002, 116.310858954 39.71093198599999, 116.307930082 39.71093198599999))",85269,30,9,1,1
24088.0,"POLYGON ((116.313787824 39.71093198599999, 116.313787824 39.71318554700002, 116.316716695 39.71318554700002, 116.316716695 39.71093198599999, 116.313787824 39.71093198599999))",85271,126,1,1,1
30965.0,"POLYGON ((116.319645567 39.71093198599999, 116.319645567 39.71318554700002, 116.322574437 39.71318554700002, 116.322574437 39.71093198599999, 116.319645567 39.71093198599999))",85273,323,3,1,1
29863.0,"POLYGON ((116.337218795 39.71093198599999, 116.337218795 39.71318554700002, 116.340147665 39.71318554700002, 116.340147665 39.71093198599999, 116.337218795 39.71093198599999))",85279,458,2,1,1
29863.0,"POLYGON ((116.340147665 39.71093198599999, 116.340147665 39.71318554700002, 116.343076536 39.71318554700002, 116.343076536 39.71093198599999, 116.340147665 39.71093198599999))",85280,654,2,1,1
38187.0,"POLYGON ((116.307930082 39.71318554700002, 116.307930082 39.71543910999998, 116.310858954 39.71543910999998, 116.310858954 39.71318554700002, 116.307930082 39.71318554700002))",85983,38,9,1,1
38187.0,"POLYGON ((116.310858954 39.71318554700002, 116.310858954 39.71543910999998, 116.313787824 39.71543910999998, 116.313787824 39.71318554700002, 116.310858954 39.71318554700002))",85984,360,9,1,1
36493.0,"POLYGON ((116.319645567 39.71318554700002, 116.319645567 39.71543910999998, 116.322574437 39.71543910999998, 116.322574437 39.71318554700002, 116.319645567 39.71318554700002))",85987,121,6,1,1
30790.0,"POLYGON ((116.322574437 39.71318554700002, 116.322574437 39.71543910999998, 116.3255033090001 39.71543910999998, 116.3255033090001 39.71318554700002, 116.322574437 39.71318554700002))",85988,171,3,1,1
26835.0,"POLYGON ((116.337218795 39.71318554700002, 116.337218795 39.71543910999998, 116.340147665 39.71543910999998, 116.340147665 39.71318554700002, 116.337218795 39.71318554700002))",85993,121,2,1,1
26822.0,"POLYGON ((116.340147665 39.71318554700002, 116.340147665 39.71543910999998, 116.343076536 39.71543910999998, 116.343076536 39.71318554700002, 116.340147665 39.71318554700002))",85994,242,2,1,1
37822.0,"POLYGON ((116.149771034 39.71543910999998, 116.149771034 39.71769267299999, 116.152699905 39.71769267299999, 116.152699905 39.71543910999998, 116.149771034 39.71543910999998))",86643,27,8,1,1
31847.0,"POLYGON ((116.181988616 39.71543910999998, 116.181988616 39.71769267299999, 116.184917488 39.71769267299999, 116.184917488 39.71543910999998, 116.181988616 39.71543910999998))",86654,50,3,1,1
31405.0,"POLYGON ((116.184917488 39.71543910999998, 116.184917488 39.71769267299999, 116.18784636 39.71769267299999, 116.18784636 39.71543910999998, 116.184917488 39.71543910999998))",86655,27,3,1,1
47944.0,"POLYGON ((116.18784636 39.71543910999998, 116.18784636 39.71769267299999, 116.190775231 39.71769267299999, 116.190775231 39.71543910999998, 116.18784636 39.71543910999998))",86656,63,20,1,2
36493.0,"POLYGON ((116.319645567 39.71543910999998, 116.319645567 39.71769267299999, 116.322574437 39.71769267299999, 116.322574437 39.71543910999998, 116.319645567 39.71543910999998))",86701,129,6,1,1
